Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

U3         SOIC-8_-_N_-_Power_Pad        43.5mm        92.7mm        43.5mm        92.7mm      45.405mm     95.5001mm  T        180.00 TPS5431        
C47        SM/CT_7343_12_D        32.6mm        99.4mm        32.6mm        99.4mm      35.902mm        99.4mm  T        180.00 220uF          
C46        SM/C_0603              32.6mm        68.4mm        32.6mm        68.4mm        32.6mm     67.6888mm  T         90.00 100nF          
C45        SM/C_0603              31.4mm        68.4mm        31.4mm        68.4mm        31.4mm     67.6888mm  T         90.00 100nF          
C44        SM/C_0603              30.2mm        68.4mm        30.2mm        68.4mm        30.2mm     67.6888mm  T         90.00 100nF          
C42        SM/C_0603              30.6mm         114mm        30.6mm         114mm     29.8888mm         114mm  B        360.00 100nF          
C41        SM/C_0603              44.2mm        29.1mm        44.2mm        29.1mm        44.2mm     28.3888mm  B         90.00 100nF          
C40        SM/C_0603              35.6mm        37.7mm        35.6mm        37.7mm     34.8888mm        37.7mm  B        360.00 100nF          
C39        SM/C_0603              45.4mm        45.6mm        45.4mm        45.6mm     44.6888mm        45.6mm  B        360.00 100nF          
C38        SM/C_0603                52mm          41mm          52mm          41mm          52mm     41.7112mm  B        270.00 100nF          
C37        SM/C_0603                52mm        35.7mm          52mm        35.7mm          52mm     36.4112mm  B        270.00 100nF          
C36        SM/C_1206              36.3mm        41.5mm        36.3mm        41.5mm        36.3mm      43.151mm  B        270.00 10uF           
C35        SM/C_0603              40.8mm        25.8mm        40.8mm        25.8mm        40.8mm     25.0888mm  B         90.00 100nF          
C34        SM/C_0603              30.4mm        37.8mm        30.4mm        37.8mm        30.4mm     38.5112mm  T        270.00 100nF          
C33        SM/C_0603              44.3mm        51.1mm        44.3mm        51.1mm        44.3mm     50.3888mm  B         90.00 100nF          
C32        SM/C_0603              57.1mm        46.2mm        57.1mm        46.2mm     56.3888mm        46.2mm  T        360.00 100nF          
C31        SM/C_0603              57.3mm        37.6mm        57.3mm        37.6mm     56.5888mm        37.6mm  T        360.00 100nF          
C30        SM/C_1206              58.4mm        44.7mm        58.4mm        44.7mm      56.749mm        44.7mm  T        360.00 10uF           
C29        SM/C_0603              56.2mm        29.5mm        56.2mm        29.5mm        56.2mm     30.2112mm  T        270.00 100nF          
C28        SM/C_0603              57.3mm        36.4mm        57.3mm        36.4mm     56.5888mm        36.4mm  T        360.00 100nF          
C27        SM/C_0603              57.1mm        43.2mm        57.1mm        43.2mm     56.3888mm        43.2mm  T        360.00 100nF          
